value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,BW+pFA-sfGFP+6,BW+pFA-sfGFP+6,BW+pFA-sfGFP+6,BW+pFA-sfGFP+6+aTc,BW+pFA-sfGFP+6+aTc,BW+pFA-sfGFP+6+aTc,BW+pFA-sfGFP+7,BW+pFA-sfGFP+7,BW+pFA-sfGFP+7,BW+pFA-sfGFP+7+aTc,BW+pFA-sfGFP+7+aTc,BW+pFA-sfGFP+7+aTc
B,CAF+pFA-sfGFPEli+6,CAF+pFA-sfGFPEli+6,CAF+pFA-sfGFPEli+6,CAF+pFA-sfGFPEli+6+aTc,CAF+pFA-sfGFPEli+6+aTc,CAF+pFA-sfGFPEli+6+aTc,CAF+pFA-sfGFPEli+7,CAF+pFA-sfGFPEli+7,CAF+pFA-sfGFPEli+7,CAF+pFA-sfGFPEli+7+aTc,CAF+pFA-sfGFPEli+7+aTc,CAF+pFA-sfGFPEli+7+aTc
C,CAF+pFA-sfGFP+6,CAF+pFA-sfGFP+6,CAF+pFA-sfGFP+6,CAF+pFA-sfGFP+6+aTc,CAF+pFA-sfGFP+6+aTc,CAF+pFA-sfGFP+6+aTc,CAF+pFA-sfGFP+7,CAF+pFA-sfGFP+7,CAF+pFA-sfGFP+7,CAF+pFA-sfGFP+7+aTc,CAF+pFA-sfGFP+7+aTc,CAF+pFA-sfGFP+7+aTc
D,CAF+pFA-CAN+6,CAF+pFA-CAN+6,CAF+pFA-CAN+6,CAF+pFA-CAN+6+aTc,CAF+pFA-CAN+6+aTc,CAF+pFA-CAN+6+aTc,CAF+pFA-CAN+7,CAF+pFA-CAN+7,CAF+pFA-CAN+7,CAF+pFA-CAN+7+aTc,CAF+pFA-CAN+7+aTc,CAF+pFA-CAN+7+aTc
E,CAF+pFA-sbtA+6,CAF+pFA-sbtA+6,CAF+pFA-sbtA+6,CAF+pFA-sbtA+6+aTc,CAF+pFA-sbtA+6+aTc,CAF+pFA-sbtA+6+aTc,CAF+pFA-sbtA+7,CAF+pFA-sbtA+7,CAF+pFA-sbtA+7,CAF+pFA-sbtA+7+aTc,CAF+pFA-sbtA+7+aTc,CAF+pFA-sbtA+7+aTc
F,CAF+pFA-DAB1+6,CAF+pFA-DAB1+6,CAF+pFA-DAB1+6,CAF+pFA-DAB1+6+aTc,CAF+pFA-DAB1+6+aTc,CAF+pFA-DAB1+6+aTc,CAF+pFA-DAB1+7,CAF+pFA-DAB1+7,CAF+pFA-DAB1+7,CAF+pFA-DAB1+7+aTc,CAF+pFA-DAB1+7+aTc,CAF+pFA-DAB1+7+aTc
G,CAF+pFA-DAB2+6,CAF+pFA-DAB2+6,CAF+pFA-DAB2+6,CAF+pFA-DAB2+6+aTc,CAF+pFA-DAB2+6+aTc,CAF+pFA-DAB2+6+aTc,CAF+pFA-DAB2+7,CAF+pFA-DAB2+7,CAF+pFA-DAB2+7,CAF+pFA-DAB2+7+aTc,CAF+pFA-DAB2+7+aTc,CAF+pFA-DAB2+7+aTc
H,,,,,,,,,,,,